Admitted Patient Care (APC),"The APC data set includes details of episodes of care where the patient is admitted into hospital, which includes regular day or night attending patients.",,,,,,,,,,,
Field,Field name,Format,HES Legacy Field Status (Y/N),Availability,"Restricted field

Access to restricted fields requires the approval of the Independent Group Advising on the Release of Data (IGARD).",Description,Values, Cleaning,Derivations,Table Name,Field is Null. See 'Known Data Item Issues' ,DQ Issue. See 'Known Data Item Issues' 
PROCODE,"Organisation Identifier (Code of Provider)
",String(3) or String(5),,1989-90 onwards,,"The code of the organisation acting as the health care provider. This field can contain a mixture of organisation codes and site codes (some providers submit all their records to their main organisation code, others use individual site codes). See the derived fields PROCODE3 and PROCODET for alternative ways to identify the provider organisation.

Note that the structure of newly allocated organisation codes changed in 2020:

For organisation codes that were allocated prior to October 2020:
Organisations are allocated a main 3-character code which represents the organisation (e.g. an NHS Trust), and 5-character codes to represent sites within that organisation. Sites are allocated the same first 3 characters as the organisation code, with the remaining 2 characters being used to identify the site within that organisation.  For NHS organisations, this field may contain the 3-character organisation code or a full 5-character code (e.g. a site code, a HQ code ending 01 etc.), depending on what was submitted by the provider. Independent providers will always be represented in this field by a 5-character code.

Organisation codes that begin with an '8' represent non-NHS organisations and do not follow the same format - these codes are 5 characters long and cannot be grouped based on the first 3 characters of the code.

For organisation codes allocated from 1st October 2020 onwards:
Organisation codes are 5 characters in length, with an alternating ANANA alphabetic-numeric structure (where ‘A’ represents an alphabetic character, and ‘N’ represents a numeric character). Unlike the previous code structure, these codes cannot be grouped to the first 3-characters to identify the parent organisation code.

The new code structure introduced in 1 October 2020 has only been applied to codes that were registered from this date onwards (codes issued prior to this date will not be replaced with a new format code). A mixture of the different code formats will therefore be present in the data from 2020-21 onwards.","3an or 5an = Organisation identifier
89997 = UK provider where no organisation identifier has been issued 
89999 = Non-NHS UK provider where no organisation identifier has been issued",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
PROCODE3,Organisation Identifier (Code of Provider) (3 Character),String(5),,1989-90 onwards,,"The code of the organisation acting as the health care provider. The code in this field always represents the organisation (e.g. the NHS Trust), and does not contain site codes.

Note that the structure of newly allocated organisation codes changed in October 2020 (see the PROCODE field description for further details).  Codes for organisations registered after 1st October 2020 will be 5 characters in length rather than 3 characters. 

Note: there may be a small number of instances where an independent site maps to a 3 character code that is not a valid provider code.",3an = Provider code to 3 characters,,RULE_9009,AHAS_FLAT.dbo.AHAS_HES_APC,,
PROCODE5,Organisation Identifier (Code of Provider) (5 Character),String(5),,1989-90 onwards,,"The code of the organisation acting as the health care provider. This field represents the code from the PROCODE field to 5-characters. Where PROCODE contains a 3-character code, it is padded to the right with additional zeros in this field.

Note that the structure of newly allocated organisation codes changed in October 2020 (see the PROCODE field description for further details). ","5an = Provider code to 5 characters
89997 = Non-UK provider where no organisation code has been issued  
89999 = Non-NHS UK provider where no organisation code has been issued",,RULE_9009,AHAS_FLAT.dbo.AHAS_HES_APC,,
PROCODEO,Organisation Identifier (Code of Provider) (Original),String(5),,2008-09 onwards,,"The code of the organisation acting as the health care provider, as submitted. Note that provider codes are subject to a mapping process in HES, which attempts to allocate a valid provider code to records that were submitted with an invalid/closed provider code. This field contains the submitted code. Where the code in this field is different to the code in the PROCODE field, the provider code has been mapped in HES. Users are advised to use the fields PROCODE, PROCODE3, PROCODE5 or PROCODET to identify the provider, as PROCODEO can contain invalid codes.",3an to 5an = Submitted provider code,,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
PROCODET,Provider Code of Treatment,String(5),,2003-04 onwards,,"This field contains a combination of provider codes, depending on the organisation type.

Note that the structure of newly allocated organisation codes changed in October 2020 (see the PROCODE field description for further details). 

For NHS providers, this field contains the code for the organisation (e.g. the NHS trust). Independent providers are represented at site level*. NHS trust codes allocated prior to October 2020 that have associated treatment centres will have '- X' following the 3 character code. 

* The code for independent providers is taken from the PROCODE field. This may not match the site code from the 'site code of treatment' (SITETRET) field - e.g. it may represent a HQ code. Details of the site where the patient was treated can be found in the SITETRET field.",5an = Provider code,,,AHAS_FLAT.dbo.AHAS_HES_APC,,
PROTYPE,Provider Type ,String(20),,2003-04 onwards,,"The type of healthcare provider, derived from the provider code (PROCODE).","CARETRUST = Care trust  
CCG = Clinical Commissioning Group
FOUNDATION = NHS foundation trust  
IND = Independent sector provider  
INDSITE = Independent sector provider site 
INDSITETC = Treatment centre at independent sector provider site  
OTHERPROV = Other provider organisation  
PCT = Primary care trust  
TRUST = NHS trust  
TRUSTSITETC = Treatment centre at NHS trust site",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
PROVDIST,Distance Between LSOA11 and Provider,String(15),,2003-04 onwards,,The distance in kilometres between the Lower Super Output Area 2011 (LSOA11) centroid and the provider. The provider is defined as PROCODE5 (if populated) or PROCODE3 if PROCODE5 is not populated or the last two characters of PROCODE5 are 00.,nnn.nn = Distance in kilometres,,RULE_8101,AHAS_FLAT.dbo.AHAS_HES_APC,,
PROVDIST_FLAG,Derivation of PROVDIST,String(1),,2003-04 onwards,,Flag to indicate if the PROVDIST field was calculated using PROCODE5 or PROCODE3.,"5 = PROVDIST was calculated from PROCODE5
3 = PROVDIST was calculated from PROCODE3",,RULE_8101,AHAS_FLAT.dbo.AHAS_HES_APC,,
PROVSPNO,Hospital Provider Spell Identifier,Number,,,Yes,"A unique identifier for the Hospital Provider Spell within a Health Care Provider. As this field is locally generated it may not be unique within the data set, but it should be unique per provider. This field is unavailable for use, and is null in all years.

This field is not made available in HES due to the risk of restricted or identifiable data being populated in the field. A pseudonymised version of this field can be found in the field PROVSPNOPS.",20an = Hospital provider spell number,,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
PROVSPNOPS,Hospital Provider Spell Number (Pseudonymised),String(40),,1997-98 onwards,,A pseudonymised version of the Hospital Provider Spell Number (PROVSPNO).,max 40Sp = PROVSPNOPS,,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
PSEUDO_HESID,Pseudonymised Patient identifier - HES generated,String(32),Y,Retired in 2021-22 - replaced by TOKEN_PERSON_ID for all years,,"A unique identifier for each individual patient. This allowed an individual’s care to be tracked across years and continuous periods to be identified. This was a pseudonymised version of the HES ID field based on an updated matching algorithm, which superseded and was compatible with the original HES ID. 

This field was replaced with the TOKEN_PERSON_ID field in 2021-22. PSEUDO_HESID is no longer available in HES.",32an = Pseudonymised HESID,,RULE_9011,,,
PURCODE,Organisation Identifer (Code of Commissioner),String(12),,1989-90 onwards,,The organisation that commissioned the patient's health care. This field is submitted by the provider.,"3an - 5an = Organisation Identifier (Commissioning Organisation)
VPP00 = Private patients / overseas visitor liable for charge
XMD00 = Commissioner code for Ministry of Defence (MoD) healthcare
YDD82 = Episodes funded directly by the National Commissioning Group for England (retired September 2018)",RULE_0340,,AHAS_FLAT.dbo.AHAS_HES_APC,,
PURRO,Commissioner’s Regional Office ,String(8),Y,1995-96 to 2001-02,,"The Regional Office (RO) area in which the commissioner is located. It is derived from the PURCODE field. 

The codes include those used in 1995-96 and those used subsequently. There were alterations to the codes from April 1996 and April 1999 to reflect changes in the regional organisation.","From 1999-2000 to 2001-2002: 
S or S0000 = Scotland  
W or W0000 = Wales  
Y01 = Northern and Yorkshire  
Y02 = Trent  
Y07 = West Midlands  
Y08 = North West  
Y09 = Eastern  
Y10 = London  
Y11 = South East  
Y12 = South West  
Z or Z0000 = Northern Ireland  
Null = Not known  

From 1996-97 to 1998-99: 
S or S0000 = Scotland  
W or W0000 = Wales  
Y01 = Northern and Yorkshire  
Y02 = Trent  
Y03 = Anglia and Oxford  
Y04 = North Thames  
Y05 = South Thames  
Y06 = South and West  
Y07 = West Midlands  
Y08 = North West  
Z or Z0000 = Northern Ireland  
Null = Not known  
9999 = Not known  

1995-96: 
A0000 = Northern  
B0000 = Yorkshire  
C0000 = Trent  
D0000 = East Anglia  
E0000 = North West Thames  
F0000 = North East Thames  
G0000 = South East Thames  
H0000 = South West Thames  
J0000 = Wessex  
K0000 = South Western  
M0000 = West Midlands  
N0000 = Mersey  
P0000 = North Western  
Z or Z0000 = Northern Ireland  
Null = Not known  
9999 = Not known
",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
PURSTHA,Strategic Health Authority of Commissioner,String(8),Y,2002-03 to 2012-13,,"The Strategic Health Authority (SHA) area in which the commissioner is located, derived from the PURCODE field.

In 2013 following a reorganisation of health areas, SHAs were abolished. ","3an = SHA area of commissioner
S = Scotland  
X = Foreign (including Isle of Man and Channel Islands)  
Y = Unknown  
Z = Northern Ireland",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
PURVAL,Commissioner Code Status ,String(1),,1995-96 onwards,,"A flag to indicate whether the submitted commissioner code (PURCODE) is one that is recognised throughout the NHS. If not, the code may have been agreed locally between the hospital provider and the health care purchaser.","0 = Purchaser code is not recognised throughout the NHS  
1 = Purchaser code is recognised throughout the NHS",,RULE_1150,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,Y
RANK_ORDER,Linkage Quality Rank,Number,,2013-14 onwards,,"This field is present on A&E and APC linked records only. Linkage between these two datasets enables patient pathways to be followed and provides additional information beyond what is available from the standalone datasets. 

A score of one to four is applied to each linked record, with a score of one meaning a very good link and a score of four meaning a poor link. Records that score poor in quality, rating either three or four, are excluded from the final output of linked data available to users.

Full details of the methodology used to link A&E and APC records, and the filters used to assess linkage quality, can be found on the following page of our website: http://content.digital.nhs.uk/article/1824/How-do-we-collect-and-process-HES-data","1 - 4, where 1 is a strong link and 4 is a poor link between the two records",,,AHAS_FLAT.dbo.AHAS_HES_APC,Y,Y
REFERORG,Organisation Identifier (Referring Organisation),String(3-8),,2002-03 onwards,,"The code of the organisation from which the referral was made, such as GP practice or NHS trust. ","3an - 8an = Referring organisation identifier  
X99998 = Referring organisation identifier not applicable  
X99999 = Referring organisation identifier not known",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
REFERRER,Referrer Code,String(8),,1997-98 onwards,Yes,"The person who referred the patient. This may be the GMC code for the consultant, or the code that defines the practice of the patient's registered GMP or GDP. 

A pseudonymised version of this field can be found in PREFERRER","an8 = Referrer code
A9999998 = Ministry of Defence Doctor
C9999998 = Consultant, General Medical Council (GMC) number not known  
D9999998 = Dentist, General Dental Practitioner Code (GDC) not known
CD999998 = Dental consultant: GMC / GDC number not known  
R9999981 = Referrer other than GP, general dental practitioner or consultant  
X9999998 = Not applicable, e.g. patient has self-presented or not known  
& = referrer code not recorded
99 = referrer code invalid",RULE_0410,,AHAS_FLAT_S.dbo.AHAS_HES_APC,,
REGGMP,Registered or Referring GP,String(8),,1997-98 onwards,Yes,"The General Medical Practitioner PPD code of the GP, which identifies the GP as an individual. This GP works within the General Medical Practice within which the patient is registered.

A pseudonymised version of this field can be found in PREGGMP.","8an = GP code
G followed by up to 7 digits (GP England and Wales)
S followed by up to 7 digits (GP Scotland)
[Z as 1st character] [E, N, S or W as 2nd character] followed by up to 6 digits (GP N. Ireland)
G9999998 = GP code is unknown  
G9999981 = No registered GP  
R9999981 (retired) = referrer other than General Medical Practitioner, General Dental
Practitioner or Consultant  
A9999998 (retired) = Ministry of Defence doctor  
P9999981 (retired) = Prison doctor
& = Registered GP not recorded
99 = Registered GP code invalid",RULE_0430,,AHAS_FLAT_S.dbo.AHAS_HES_APC,,
RESCTY,County of Residence ,String(2),Y,1989-90 to 2020-21,,"For activity from 2011-12 onwards, HES users are advised to use the field RESCTY_ONS instead of RESCTY.

The county of residence of the patient, derived in HES from the patient's postcode (HOMEADD).

Note that this field uses old-style geographical codes that were superseded in 2011 and are now no longer supported by ONS. The field RESCTY_ONS represents the county of residence using codes from the current ONS geographical coding system.","00 = Not available (patient was resident within a Unitary Authority)
11 = Buckinghamshire  
12 = Cambridgeshire  
16 = Cumbria  
17 = Derbyshire  
18 = Devon  
19 = Dorset  
21 = East Sussex  
22 = Essex  
23 = Gloucestershire  
24 = Hampshire  
26 = Hertfordshire  
29 = Kent  
30 = Lancashire  
31 = Leicestershire  
32 = Lincolnshire  
33 = Norfolk  
34 = Northamptonshire  
36 = North Yorkshire  
37 = Nottinghamshire  
38 = Oxfordshire  
40 = Somerset  
41 = Staffordshire  
42 = Suffolk  
43 = Surrey  
44 = Warwickshire  
45 = West Sussex  
47 = Worcestershire  
S = Scotland  
U = No fixed abode
W = Wales  
X = Foreign (from 1990-91 onwards)  
Y = Not known  
Z = Northern Ireland ",RULE_1200,,AHAS_FLAT.dbo.AHAS_HES_APC,,
